ResourceID,geom,SITEID,SITENAME
2e3fa105-ba0e-41d6-a4db-0c2a8d73f1e6,POINT (-82.581756351999957 29.914161290000038),CO01359,Camper Cabin #2
659a2003-29b5-4fa2-9475-dc022bc5a5c1,POINT (-82.581707804999951 29.914008282000054),CO01360,Camper Cabin #3
b6bea20a-d24a-4d2d-9796-7d9a36a16e95,POINT (-82.581659300999945 29.913908838000054),CO01361,Camper Cabin #4
43112d44-cecf-4acc-a275-ccd378672ba1,POINT (-82.581597491999958 29.913782656000024),CO01362,Camper Cabin #5
371a559b-87db-4635-bfda-d8f0addd601d,POINT (-82.58154456699998 29.913671710000074),CO01363,Camper Cabin #6
6253e15c-d2a2-4ece-bfd4-86f67308b7d6,POINT (-82.581227860999945 29.914266713000075),CO01364,Leader Cabin #1
28aec414-2c99-4dce-985d-61ec7114cbc1,POINT (-82.579735669999934 29.913205001000051),CO01365,Leader Cabin #2
2d5bcc0d-c4f8-4a33-9036-c687d07ce5a3,POINT (-82.580189424999958 29.912613814000053),CO01366,Leader Cabin #3
d775bc9a-006f-4641-b6e0-266be5ef27d6,POINT (-82.579681188999984 29.914568347000056),CO01367,Amphitheater
626292fd-18ff-42f6-a65f-bfa709585477,POINT (-82.57811710499999 29.913575823000031),CO01368,Small Amphitheater
b5c14374-2422-44d0-bd8d-5853bc5c7c7d,POINT (-81.59325428599999 25.991885708000041),CR00138,WALKING DREDGE
b4227a3f-d188-43fb-ac6f-037fc023eb2a,POINT (-81.592025596999974 25.994526755000038),CR00658,ROYAL PALM HAMMOCK STATION
bdcadc94-0006-43dd-ac5e-cd19a18ae262,POINT (-81.46963968099999 25.942116110000029),CR00659,WEAVER'S STATION
c97bd480-5d27-4d6d-b280-09df58ed3e7f,POINT (-81.34516997299994 26.053547964000074),CR00675,DEEP LAKE HOUSE
22198da8-0c8e-47f4-a784-19bf00371a80,POINT (-81.384103744999948 26.013996668000061),CR00983,FK1-31
81caa8e6-6022-4e13-a295-0be142f5c6e8,POINT (-81.397213971999975 26.02885615100007),CR00984,FK1-2
af10557f-cba3-4a11-b080-fef18036c150,POINT (-81.375723305999941 26.058574858000043),CR00987,FK1-18
93ae795b-e13c-49cd-a73a-e35ee66fd961,POINT (-81.363592984999968 26.059944758000029),CR00988,FK3-4
38580b89-bf33-4fde-a24a-06c5ad6a91ab,POINT (-81.38039381599998 25.980737958000077),CR00989,FK1-30
82757212-2a28-49b1-9bcb-3f44853266c0,POINT (-81.432615154999951 25.977228373000059),CR00992,FK1-4
f8f81e46-f0d0-417d-b694-bd5591c5a6b9,POINT (-81.397843426999941 26.146631479000064),CR00994,FK1-8
